state,x,y
Andhra Pradesh,-60,-138
Arunachal Pradesh,184,84
Assam,161,50
Bihar,55,39
Chhattisgarh,-7,-30
Goa,-127,-131
Gujarat,-168,-7
Haryana,-92,96
Himachal Pradesh,-80,148
Jharkhand,38,1
Karnataka,-107,-148
Kerala,-94,-206
Madhya Pradesh,-68,-5
Maharashtra,-108,-63
Manipur,176,21
Meghalaya,133,36
Mizoram,161,-2
Nagaland,184,46
Odisha,34,-41
Punjab,-108,128
Rajasthan,-133,60
Sikkim,91,72
Tamil Nadu,-64,-200
Telangana,-54,-88
Tripura,141,3
Uttar Pradesh,-27,63
Uttarakhand,-48,120
West Bengal,78,-7
